MatchID,Year,Decade,Date,Time,Stage,StageType,Group,Stadium,HostCity,HostCountry,HomeTeam,AwayTeam,HomeGoals,AwayGoals,TotalGoals,GoalDifference,Result,Winner,ExtraTime,PenaltyShootout,HomePenaltyGoals,AwayPenaltyGoals,HighScoringMatch,Scoreline
M-2002-47,2002,2000s,2002-06-14,20:30,Group Stage,Group Stage,Group D,Daejeon World Cup Stadium,Daejeon,South Korea,Poland,United States,3,1,4,2,Home Win,Poland,No,No,0,0,No,3–1
M-2002-48,2002,2000s,2002-06-14,20:30,Group Stage,Group Stage,Group D,Incheon Munhak Stadium,Incheon,South Korea,Portugal,South Korea,0,1,1,1,Away Win,South Korea,No,No,0,0,No,0–1
M-2002-49,2002,2000s,2002-06-15,15:30,Round Of 16,Knockout Stage,not applicable,Jeju World Cup Stadium,Seogwipo,South Korea,Germany,Paraguay,1,0,1,1,Home Win,Germany,No,No,0,0,No,1–0
M-2002-50,2002,2000s,2002-06-15,20:30,Round Of 16,Knockout Stage,not applicable,Niigata Stadium,Niigata,Japan,Denmark,England,0,3,3,3,Away Win,England,No,No,0,0,No,0–3
M-2002-51,2002,2000s,2002-06-16,15:30,Round Of 16,Knockout Stage,not applicable,Ōita Stadium,Ōita,Japan,Sweden,Senegal,1,2,3,1,Away Win,Senegal,Yes,No,0,0,No,1–2
M-2002-52,2002,2000s,2002-06-16,20:30,Round Of 16,Knockout Stage,not applicable,Suwon World Cup Stadium,Suwon,South Korea,Spain,Republic of Ireland,1,1,2,0,Draw,Spain,Yes,Yes,3,2,No,1–1
M-2002-53,2002,2000s,2002-06-17,15:30,Round Of 16,Knockout Stage,not applicable,Jeonju World Cup Stadium,Jeonju,South Korea,Mexico,United States,0,2,2,2,Away Win,United States,No,No,0,0,No,0–2
M-2002-54,2002,2000s,2002-06-17,20:30,Round Of 16,Knockout Stage,not applicable,Kobe Wing Stadium,Kobe,Japan,Brazil,Belgium,2,0,2,2,Home Win,Brazil,No,No,0,0,No,2–0
M-2002-55,2002,2000s,2002-06-18,15:30,Round Of 16,Knockout Stage,not applicable,Miyagi Stadium,Miyagi,Japan,Japan,Turkey,0,1,1,1,Away Win,Turkey,No,No,0,0,No,0–1
M-2002-56,2002,2000s,2002-06-18,20:30,Round Of 16,Knockout Stage,not applicable,Daejeon World Cup Stadium,Daejeon,South Korea,South Korea,Italy,2,1,3,1,Home Win,South Korea,Yes,No,0,0,No,2–1
M-2002-57,2002,2000s,2002-06-21,15:30,Quarter-Finals,Knockout Stage,not applicable,Shizuoka Stadium ECOPA,Shizuoka,Japan,England,Brazil,1,2,3,1,Away Win,Brazil,No,No,0,0,No,1–2
M-2002-58,2002,2000s,2002-06-21,20:30,Quarter-Finals,Knockout Stage,not applicable,Ulsan Munsu Football Stadium,Ulsan,South Korea,Germany,United States,1,0,1,1,Home Win,Germany,No,No,0,0,No,1–0
M-2002-59,2002,2000s,2002-06-22,15:30,Quarter-Finals,Knockout Stage,not applicable,Gwangju World Cup Stadium,Gwangju,South Korea,Spain,South Korea,0,0,0,0,Draw,South Korea,Yes,Yes,3,5,No,0–0
M-2002-60,2002,2000s,2002-06-22,20:30,Quarter-Finals,Knockout Stage,not applicable,Nagai Stadium,Osaka,Japan,Senegal,Turkey,0,1,1,1,Away Win,Turkey,Yes,No,0,0,No,0–1
M-2002-61,2002,2000s,2002-06-25,20:30,Semi-Finals,Knockout Stage,not applicable,Seoul World Cup Stadium,Seoul,South Korea,Germany,South Korea,1,0,1,1,Home Win,Germany,No,No,0,0,No,1–0
M-2002-62,2002,2000s,2002-06-26,20:30,Semi-Finals,Knockout Stage,not applicable,Saitama Stadium,Saitama,Japan,Brazil,Turkey,1,0,1,1,Home Win,Brazil,No,No,0,0,No,1–0
M-2002-63,2002,2000s,2002-06-29,20:00,Third-Place Match,Knockout Stage,not applicable,Daegu World Cup Stadium,Daegu,South Korea,South Korea,Turkey,2,3,5,1,Away Win,Turkey,No,No,0,0,Yes,2–3
M-2002-64,2002,2000s,2002-06-30,20:00,Final,Knockout Stage,not applicable,International Stadium Yokohama,Yokohama,Japan,Germany,Brazil,0,2,2,2,Away Win,Brazil,No,No,0,0,No,0–2
M-2006-01,2006,2000s,2006-06-09,18:00,Group Stage,Group Stage,Group A,Allianz Arena,Munich,Germany,Germany,Costa Rica,4,2,6,2,Home Win,Germany,No,No,0,0,Yes,4–2
M-2006-02,2006,2000s,2006-06-09,21:00,Group Stage,Group Stage,Group A,Arena AufShalke,Gelsenkirchen,Germany,Poland,Ecuador,0,2,2,2,Away Win,Ecuador,No,No,0,0,No,0–2
M-2006-03,2006,2000s,2006-06-10,15:00,Group Stage,Group Stage,Group B,Waldstadion,Frankfurt,Germany,England,Paraguay,1,0,1,1,Home Win,England,No,No,0,0,No,1–0
M-2006-04,2006,2000s,2006-06-10,18:00,Group Stage,Group Stage,Group B,Westfalenstadion,Dortmund,Germany,Trinidad and Tobago,Sweden,0,0,0,0,Draw,Draw,No,No,0,0,No,0–0
M-2006-05,2006,2000s,2006-06-10,21:00,Group Stage,Group Stage,Group C,Volksparkstadion,Hamburg,Germany,Argentina,Ivory Coast,2,1,3,1,Home Win,Argentina,No,No,0,0,No,2–1
M-2006-06,2006,2000s,2006-06-11,15:00,Group Stage,Group Stage,Group C,Zentralstadion,Leipzig,Germany,Serbia and Montenegro,Netherlands,0,1,1,1,Away Win,Netherlands,No,No,0,0,No,0–1
M-2006-07,2006,2000s,2006-06-11,18:00,Group Stage,Group Stage,Group D,Frankenstadion,Nuremberg,Germany,Mexico,Iran,3,1,4,2,Home Win,Mexico,No,No,0,0,No,3–1
M-2006-08,2006,2000s,2006-06-11,21:00,Group Stage,Group Stage,Group D,RheinEnergieStadion,Cologne,Germany,Angola,Portugal,0,1,1,1,Away Win,Portugal,No,No,0,0,No,0–1
M-2006-09,2006,2000s,2006-06-12,15:00,Group Stage,Group Stage,Group F,Fritz-Walter-Stadion,Kaiserslautern,Germany,Australia,Japan,3,1,4,2,Home Win,Australia,No,No,0,0,No,3–1
M-2006-10,2006,2000s,2006-06-12,18:00,Group Stage,Group Stage,Group E,Arena AufShalke,Gelsenkirchen,Germany,United States,Czech Republic,0,3,3,3,Away Win,Czech Republic,No,No,0,0,No,0–3
M-2006-11,2006,2000s,2006-06-12,21:00,Group Stage,Group Stage,Group E,Niedersachsenstadion,Hanover,Germany,Italy,Ghana,2,0,2,2,Home Win,Italy,No,No,0,0,No,2–0
M-2006-12,2006,2000s,2006-06-13,15:00,Group Stage,Group Stage,Group G,Waldstadion,Frankfurt,Germany,South Korea,Togo,2,1,3,1,Home Win,South Korea,No,No,0,0,No,2–1
M-2006-13,2006,2000s,2006-06-13,18:00,Group Stage,Group Stage,Group G,Neckarstadion,Stuttgart,Germany,France,Switzerland,0,0,0,0,Draw,Draw,No,No,0,0,No,0–0
M-2006-14,2006,2000s,2006-06-13,21:00,Group Stage,Group Stage,Group F,Olympiastadion,Berlin,Germany,Brazil,Croatia,1,0,1,1,Home Win,Brazil,No,No,0,0,No,1–0
M-2006-15,2006,2000s,2006-06-14,15:00,Group Stage,Group Stage,Group H,Zentralstadion,Leipzig,Germany,Spain,Ukraine,4,0,4,4,Home Win,Spain,No,No,0,0,No,4–0
M-2006-16,2006,2000s,2006-06-14,18:00,Group Stage,Group Stage,Group H,Allianz Arena,Munich,Germany,Tunisia,Saudi Arabia,2,2,4,0,Draw,Draw,No,No,0,0,No,2–2
M-2006-17,2006,2000s,2006-06-14,21:00,Group Stage,Group Stage,Group A,Westfalenstadion,Dortmund,Germany,Germany,Poland,1,0,1,1,Home Win,Germany,No,No,0,0,No,1–0
M-2006-18,2006,2000s,2006-06-15,15:00,Group Stage,Group Stage,Group A,Volksparkstadion,Hamburg,Germany,Ecuador,Costa Rica,3,0,3,3,Home Win,Ecuador,No,No,0,0,No,3–0
M-2006-19,2006,2000s,2006-06-15,18:00,Group Stage,Group Stage,Group B,Frankenstadion,Nuremberg,Germany,England,Trinidad and Tobago,2,0,2,2,Home Win,England,No,No,0,0,No,2–0
M-2006-20,2006,2000s,2006-06-15,21:00,Group Stage,Group Stage,Group B,Olympiastadion,Berlin,Germany,Sweden,Paraguay,1,0,1,1,Home Win,Sweden,No,No,0,0,No,1–0
M-2006-21,2006,2000s,2006-06-16,15:00,Group Stage,Group Stage,Group C,Arena AufShalke,Gelsenkirchen,Germany,Argentina,Serbia and Montenegro,6,0,6,6,Home Win,Argentina,No,No,0,0,Yes,6–0
M-2006-22,2006,2000s,2006-06-16,18:00,Group Stage,Group Stage,Group C,Neckarstadion,Stuttgart,Germany,Netherlands,Ivory Coast,2,1,3,1,Home Win,Netherlands,No,No,0,0,No,2–1
